unit,phonemes,n_ph,ayah_collisions,distinct_surahs,basmala_cost,eff_misfire_contexts,example_hits
12:92#01,q aa l a l aa t a th r ii b a 3 a l a y k u m u a l y a w m,28,14,10,,14,2:57=0.43; 3:119=0.43; 8:48=0.29; 9:25=0.43
13:18#04,w a b i ' s a a l m i h aa d,14,14,11,,14,2:61=0.43; 2:206=0.07; 3:12=0.0; 3:197=0.0
13:34#02,w a l a 3 a dh aa b u a l ' aa x i r a t i ' a sh a q q,26,14,13,,14,2:114=0.42; 3:176=0.42; 5:33=0.42; 6:32=0.38
16:30#05,w a l a n i 3 m a d aa r u a l m u t t a q ii n,23,14,11,,14,2:180=0.35; 2:194=0.39; 2:241=0.35; 3:76=0.43
16:122#01,w a ' aa t a y n aa h u f ii a d d u n y aa H a s a n a h,27,14,12,,14,2:130=0.3; 2:200=0.37; 2:201=0.26; 5:46=0.44
17:53#02,' i n n a a sh sh a y T aa n a y a n z a gh u b a y n a h u m,29,14,13,,14,3:30=0.45; 7:22=0.38; 7:200=0.45; 8:63=0.41
17:100#02,w a k aa n a a l ' i n s aa n u q a t uu r a n aa,23,14,11,,14,4:28=0.39; 17:11=0.13; 17:53=0.39; 17:67=0.09
19:41#02,' i n n a h u k aa n a S i d d ii q a n aa n n a b i y y a n aa,30,14,6,,14,4:2=0.37; 4:22=0.43; 17:3=0.37; 17:30=0.43
19:56#02,' i n n a h u k aa n a S i d d ii q a n aa n n a b i y y a n aa,30,14,6,,14,4:2=0.37; 4:22=0.43; 17:3=0.37; 17:30=0.43
19:61#02,' i n n a h u k aa n a w a 3 d u h u m a ' t i y y a n aa,28,14,6,,14,17:3=0.39; 17:33=0.43; 17:44=0.43; 17:66=0.43
21:3#01,l aa h i y a t a n q u l uu b u h u m,18,14,11,,14,8:2=0.33; 9:8=0.39; 9:45=0.33; 9:110=0.39
21:75#01,w a ' a d x a l n aa h u f ii r a H m a t i n aa,23,14,12,,14,5:65=0.39; 7:49=0.39; 7:72=0.43; 7:151=0.22
21:86#01,w a ' a d x a l n aa h u m f ii r a H m a t i n aa,24,14,11,,14,4:175=0.29; 5:65=0.38; 7:49=0.42; 7:95=0.42
23:91#03,s u b H aa n a a l l aa h i 3 a m m aa y a S i f uu n,25,14,12,,14,6:100=0.32; 9:31=0.36; 12:108=0.28; 17:43=0.44
25:65#02,' i n n a 3 a dh aa b a h aa k aa n a gh a r aa m a n aa,25,14,10,,14,4:56=0.4; 4:149=0.44; 15:50=0.44; 17:3=0.44
27:60#03,b a l h u m q a w m u n y a 3 d i l uu n,20,14,13,,14,5:58=0.3; 7:138=0.35; 22:42=0.4; 27:55=0.35
27:63#03,t a 3 aa l aa a l l aa h u 3 a m m aa y u sh r i k uu n,25,14,12,,14,7:190=0.0; 9:31=0.32; 10:18=0.24; 16:1=0.24
27:88#03,' i n n a h u x a b ii r u n b i m aa t a f 3 a l uu n,26,14,12,,14,3:153=0.23; 4:128=0.42; 11:111=0.38; 11:112=0.35
28:56#02,w a h u w a ' a 3 l a m u b i aa l m u h t a d ii n,25,14,11,,14,5:61=0.44; 6:117=0.0; 6:119=0.08; 10:40=0.28
29:32#02,q aa l uu aa n a H n u ' a 3 l a m u b i m a n f ii h aa,26,14,13,,14,3:167=0.42; 5:61=0.42; 12:77=0.42; 16:101=0.42
30:60#01,f aa S b i r ' i n n a w a 3 d a a l l aa h i H a q q,26,14,10,,14,4:122=0.35; 10:4=0.38; 10:55=0.19; 11:45=0.42
33:53#03,w aa l l l a h u l aa y a s t a H y ii m i n a a l H a q q,28,14,9,,14,2:258=0.43; 2:264=0.43; 3:86=0.43; 5:84=0.43
34:53#01,w a q a d k a f a r uu aa b i h i m i n q a b l,23,14,14,,14,2:89=0.39; 3:93=0.43; 5:77=0.43; 7:90=0.43
35:34#02,' i n n a r a b b a n aa l a gh a f uu r u n sh a k uu r,26,14,10,,14,2:226=0.38; 6:83=0.42; 6:128=0.42; 6:145=0.27
40:9#01,w a q i h i m u a s s a y y i ' aa t,18,14,12,,14,5:65=0.39; 7:95=0.44; 11:10=0.33; 16:34=0.39
40:64#02,dh aa l i k u m u a l l aa h u r a b b u k u m,22,14,11,,14,2:187=0.41; 4:23=0.41; 6:95=0.32; 6:102=0.0
40:77#01,f aa S b i r ' i n n a w a 3 d a a l l aa h i H a q q,26,14,11,,14,4:122=0.35; 10:4=0.38; 10:55=0.19; 11:45=0.42
46:24#03,r ii H u n f ii h aa 3 a dh aa b u n ' a l ii m,21,14,13,,14,2:10=0.38; 2:104=0.29; 3:177=0.38; 12:25=0.38
50:34#02,dh aa l i k a y a w m u a l x u l uu d,18,14,12,,14,1:4=0.44; 11:103=0.33; 13:17=0.44; 16:31=0.39
50:45#01,n n a H n u ' a 3 l a m u b i m aa y a q uu l uu n,24,14,13,,14,3:167=0.33; 5:61=0.42; 15:97=0.42; 16:101=0.38
52:33#01,' a m y a q uu l uu n a t a q a w w a l a h,21,14,10,,14,3:154=0.38; 4:9=0.43; 10:38=0.38; 11:13=0.38
54:34#02,n n a j j a y n aa h u m b i s a H a r,19,14,8,,14,10:73=0.37; 11:58=0.37; 21:9=0.42; 21:71=0.42
65:11#03,q a d ' a H s a n a a l l aa h u l a h u r i z q a n aa,27,14,13,,14,5:31=0.44; 9:89=0.44; 17:94=0.44; 22:58=0.41
78:39#01,dh aa l i k a a l y a w m u a l H a q q,19,14,11,,14,6:16=0.32; 7:32=0.42; 11:103=0.37; 17:14=0.42
26:226,w a ' a n n a h u m y a q uu l uu n a m aa l aa y a f 3 a l uu n,30,14,11,,14,3:75=0.43; 4:66=0.37; 5:58=0.43; 8:65=0.4
37:40,' i l l aa 3 i b aa d a a l l aa h i a l m u x l a S ii n,27,14,10,,14,3:28=0.41; 3:126=0.44; 12:24=0.37; 15:40=0.26
37:74,' i l l aa 3 i b aa d a a l l aa h i a l m u x l a S ii n,27,14,10,,14,3:28=0.41; 3:126=0.44; 12:24=0.37; 15:40=0.26
37:128,' i l l aa 3 i b aa d a a l l aa h i a l m u x l a S ii n,27,14,10,,14,3:28=0.41; 3:126=0.44; 12:24=0.37; 15:40=0.26
37:159,s u b H aa n a a l l aa h i 3 a m m aa y a S i f uu n,25,14,13,,14,6:100=0.32; 9:31=0.36; 12:108=0.28; 17:43=0.44
37:160,' i l l aa 3 i b aa d a a l l aa h i a l m u x l a S ii n,27,14,10,,14,3:28=0.41; 3:126=0.44; 12:24=0.37; 15:40=0.26
44:49,dh u q ' i n n a k a ' a n t a a l 3 a z ii z u a l k a r ii m,30,14,9,,14,2:32=0.23; 2:127=0.3; 2:128=0.4; 2:129=0.17
51:11,aa l l a dh ii n a h u m f ii gh a m r a t i n s aa h uu n,26,14,9,,14,7:156=0.42; 10:7=0.42; 11:27=0.42; 16:100=0.42
52:7,' i n n a 3 a dh aa b a r a b b i k a l a w aa q i 3,25,14,13,,14,7:167=0.44; 17:20=0.44; 17:57=0.24; 21:46=0.32
53:42,w a ' a n n a ' i l aa r a b b i k a a l m u n t a h aa,27,14,13,,14,7:125=0.41; 8:19=0.44; 17:57=0.44; 26:50=0.37
54:39,f a dh uu q uu aa 3 a dh aa b ii w a n u dh u r,20,14,10,,14,3:106=0.45; 6:30=0.45; 8:35=0.45; 10:52=0.4
78:27,' i n n a h u m k aa n uu aa l aa y a r j uu n a H i s aa b a n aa,30,14,12,,14,2:61=0.4; 3:24=0.43; 7:64=0.43; 10:7=0.37
78:31,' i n n a l i l m u t t a q ii n a m a f aa z a n aa,25,14,12,,14,15:45=0.28; 19:97=0.44; 25:74=0.32; 38:49=0.24
81:3,w a ' i dh aa a l j i b aa l u s u y y i r a t,22,14,5,,14,52:10=0.41; 77:9=0.41; 77:10=0.18; 77:11=0.41
86:2,w a m aa ' a d r aa k a m aa a T T aa r i q,20,14,11,,14,26:114=0.45; 69:3=0.2; 74:27=0.3; 77:14=0.35
87:17,w aa l ' aa x i r a t u x a y r u n w a ' a b q aa,24,14,11,,14,4:59=0.42; 4:77=0.25; 6:32=0.38; 7:169=0.38
92:2,w aa l n n a h aa r i ' i dh aa t a j a l l aa,21,14,12,,14,2:205=0.43; 3:190=0.38; 10:6=0.38; 17:12=0.38
100:1,w aa l 3 aa d i y aa t i D a b H a n aa,18,14,6,,14,18:46=0.44; 37:1=0.44; 37:2=0.44; 37:3=0.44
101:1,' a l q aa r i 3 a h,10,14,9,,14,2:40=0.4; 7:107=0.3; 7:117=0.3; 20:20=0.4
101:10,w a m aa ' a d r aa k a m aa h i y a h,18,14,11,,14,34:44=0.44; 69:3=0.22; 69:26=0.44; 74:27=0.22
113:2,m i n sh a r r i m aa x a l a q,15,14,10,,14,7:12=0.4; 7:185=0.4; 15:33=0.4; 18:48=0.4
2:138#02,w a m a n ' a H s a n u m i n a a l l aa h i S i b gh a h,28,13,10,,13,2:140=0.43; 3:28=0.43; 4:87=0.29; 4:122=0.29
2:202#02,w aa l l l a h u s a r ii 3 u a l H i s aa b,21,13,7,,13,2:205=0.43; 2:276=0.43; 3:11=0.24; 3:34=0.38
2:206#03,w a l a b i ' s a a l m i h aa d,16,13,12,,13,3:12=0.12; 3:197=0.12; 5:62=0.38; 7:150=0.44
2:222#01,w a y a s ' a l uu n a k a 3 a n i a l m a H ii D,24,13,9,,13,2:189=0.25; 2:217=0.29; 2:219=0.25; 2:220=0.17
2:247#04,w aa l l l a h u y u ' t ii m u l k a h u m a n y a sh aa ',28,13,9,,13,2:212=0.32; 2:213=0.36; 2:261=0.32; 3:13=0.43
2:270#02,w a m aa l i l Z Z aa l i m ii n a m i n ' a n S aa r,25,13,12,,13,2:167=0.4; 3:192=0.0; 5:72=0.0; 18:29=0.36
3:7#03,w a m aa y a 3 l a m u t a ' w ii l a h u ' i l l aa a l l aa h,30,13,12,,13,2:77=0.43; 2:275=0.4; 3:126=0.43; 8:10=0.43
3:15#03,w aa l l l a h u b a S ii r u n b i aa l 3 i b aa d,24,13,9,,13,2:96=0.25; 2:207=0.17; 3:11=0.38; 3:20=0.0
3:20#05,w aa l l l a h u b a S ii r u n b i aa l 3 i b aa d,24,13,9,,13,2:96=0.25; 2:207=0.17; 3:11=0.38; 3:15=0.0
3:118#02,q a d b a y y a n n aa l a k u m u a l ' aa y aa t,24,13,8,,13,2:118=0.25; 2:187=0.33; 2:219=0.42; 2:266=0.42
3:163#01,h u m d a r a j aa t u n 3 i n d a a l l aa h,22,13,10,,13,2:243=0.41; 2:253=0.36; 3:198=0.41; 6:124=0.32
3:165#02,q u l h u w a m i n 3 i n d i ' a n f u s i k u m,25,13,9,,13,2:109=0.36; 3:78=0.4; 3:117=0.44; 3:168=0.4
3:192#02,w a m aa l i l Z Z aa l i m ii n a m i n ' a n S aa r,25,13,11,,13,2:167=0.4; 2:270=0.0; 5:72=0.0; 18:29=0.36
4:28#01,y u r ii d u a l l aa h u ' a n y u x a f f i f a 3 a n k u m,30,13,10,,13,3:176=0.37; 4:26=0.3; 4:99=0.4; 5:6=0.4
4:28#02,w a x u l i q a a l ' i n s aa n u D a 3 ii f a n aa,25,13,11,,13,16:4=0.44; 17:11=0.36; 17:100=0.36; 18:54=0.44
4:32#04,w aa s ' a l uu aa a l l aa h a m i n f a D l i h,23,13,11,,13,2:189=0.43; 2:198=0.43; 3:170=0.35; 4:37=0.35
4:58#02,' i n n a a l l aa h a n i 3 i m m aa y a 3 i Z u k u m b i h,30,13,10,,13,2:237=0.43; 3:120=0.4; 4:29=0.43; 4:32=0.43
4:87#03,w a m a n ' a S d a q u m i n a a l l aa h i H a d ii th a n aa,30,13,7,,13,2:138=0.33; 2:140=0.4; 4:42=0.33; 4:70=0.43
4:164#02,w a k a l l a m a a l l aa h u m uu s aa t a k l ii m a n aa,28,13,7,,13,4:17=0.39; 4:39=0.43; 4:104=0.39; 4:111=0.39
5:51#02,b a 3 D u h u m ' a w l i y aa ' u b a 3 D,21,13,11,,13,5:81=0.38; 6:112=0.29; 8:73=0.0; 9:127=0.29
5:72#04,w a m aa l i l Z Z aa l i m ii n a m i n ' a n S aa r,25,13,11,,13,2:167=0.4; 2:270=0.0; 3:192=0.0; 18:29=0.36
6:30#02,q aa l a ' a l a y s a h aa dh aa b i aa l H a q q,23,13,11,,13,2:119=0.43; 6:5=0.43; 14:19=0.43; 15:55=0.43
6:73#03,q a w l u h u a l H a q q,13,13,10,,13,2:204=0.31; 6:57=0.38; 6:62=0.31; 8:8=0.38
6:95#04,f a ' a n n aa t u ' f a k uu n,15,13,11,,13,5:75=0.2; 10:34=0.0; 19:8=0.4; 19:20=0.4
6:137#03,f a dh a r h u m w a m aa y a f t a r uu n,20,13,11,,13,2:9=0.3; 3:69=0.3; 6:112=0.0; 6:123=0.4
7:73#01,w a ' i l aa th a m uu d a ' a x aa h u m S aa l i H a n aa,27,13,9,,13,7:65=0.41; 7:85=0.41; 7:190=0.41; 11:50=0.41
7:81#02,b a l ' a n t u m q a w m u n m m u s r i f uu n,24,13,9,,13,15:15=0.33; 15:62=0.42; 21:50=0.42; 26:166=0.29
7:187#02,q u l ' i n n a m aa 3 i l m u h aa 3 i n d a r a b b ii,27,13,11,,13,6:109=0.41; 6:161=0.44; 7:33=0.44; 7:206=0.44
9:3#02,f a ' i n t u b t u m f a h u w a x a y r u n l l a k u m,29,13,8,,13,2:184=0.38; 2:216=0.34; 2:271=0.34; 2:279=0.41
9:30#05,' a n n aa y u ' f a k uu n,13,13,11,,13,3:47=0.23; 5:75=0.0; 7:115=0.38; 10:34=0.08
9:53#02,' i n n a k u m k u n t u m q a w m a n aa f aa s i q ii n,28,13,9,,13,12:29=0.43; 21:64=0.43; 21:74=0.39; 21:77=0.43
9:101#04,n a H n u n a 3 l a m u h u m,15,13,12,,13,2:30=0.4; 3:167=0.4; 13:42=0.4; 14:9=0.4
9:108#04,w aa l l l a h u y u H i b b u a l m u T T a h h i r ii n,28,13,5,,13,2:205=0.43; 2:222=0.25; 2:276=0.43; 3:54=0.43
9:111#04,w a m a n ' a w f aa b i 3 a h d i h i m i n a a l l aa h,28,13,8,,13,2:138=0.39; 3:76=0.32; 3:97=0.43; 3:112=0.43
10:18#03,s u b H aa n a h u w a t a 3 aa l aa 3 a m m aa y u sh r i k uu n,30,13,11,,13,6:100=0.13; 9:31=0.27; 16:1=0.0; 16:3=0.3
11:10#02,' i n n a h u l a f a r i H u n f a x uu r,21,13,9,,13,6:33=0.43; 21:59=0.43; 26:192=0.43; 26:196=0.43
11:61#01,w a ' i l aa th a m uu d a ' a x aa h u m S aa l i H a n aa,27,13,9,,13,7:65=0.41; 7:73=0.0; 7:85=0.41; 7:190=0.41
12:24#04,' i n n a h u m i n 3 i b aa d i n aa a l m u x l a S ii n,28,13,8,,13,4:118=0.43; 5:118=0.43; 19:51=0.39; 19:63=0.43
12:50#03,' i n n a r a b b ii b i k a y d i h i n n a 3 a l ii m,27,13,9,,13,6:83=0.37; 7:153=0.44; 11:92=0.44; 12:6=0.41
12:64#03,w a h u w a ' a r H a m u a r r aa H i m ii n,22,13,11,,13,6:117=0.41; 7:151=0.18; 10:109=0.36; 12:92=0.0
13:2#03,w a s a x x a r a a sh sh a m s a w aa l q a m a r,24,13,13,,13,6:96=0.33; 7:54=0.38; 12:4=0.33; 14:33=0.25
13:39#02,w a 3 i n d a h u ' u m m u a l k i t aa b,21,13,12,,13,3:7=0.33; 6:114=0.38; 13:43=0.24; 28:52=0.38
14:22#03,f a l aa t a l uu m uu n ii w a l uu m uu aa ' a n f u s a k u m,29,13,10,,13,2:57=0.45; 2:84=0.45; 3:117=0.38; 3:153=0.45
15:13#02,w a q a d x a l a t s u n n a t u a l ' a w w a l ii n,27,13,12,,13,8:38=0.11; 18:55=0.3; 25:5=0.41; 35:43=0.33
16:1#02,s u b H aa n a h u w a t a 3 aa l aa 3 a m m aa y u sh r i k uu n,30,13,12,,13,6:100=0.13; 9:31=0.27; 10:18=0.0; 16:3=0.3
16:44#01,b i aa l b a y y i n aa t i w aa l z z u b u r,22,13,11,,13,2:92=0.36; 3:183=0.32; 3:184=0.0; 10:13=0.36
16:60#02,w a l i l l a h i a l m a th a l u a l ' a 3 l aa,24,13,13,,13,2:115=0.42; 4:172=0.42; 5:18=0.42; 6:149=0.42
17:97#01,w a m a n y a h d i a l l aa h u f a h u w a a l m u h t a d,30,13,11,,13,3:62=0.43; 4:14=0.43; 4:52=0.43; 5:41=0.43
19:21#03,w a k aa n a ' a m r a n aa m m a q D i y y a n aa,24,13,4,,13,4:47=0.42; 17:5=0.33; 19:13=0.42; 19:14=0.42
20:123#02,b a 3 D u k u m l i b a 3 D i n 3 a d u w w,22,13,12,,13,2:36=0.0; 4:21=0.36; 6:112=0.41; 7:24=0.0
22:9#02,l a h u f ii a d d u n y aa x i z y,17,13,9,,13,2:114=0.06; 2:130=0.35; 2:200=0.41; 3:22=0.35
22:11#04,dh aa l i k a h u w a a l x u s r aa n u a l m u b ii n,26,13,13,,13,6:16=0.38; 9:72=0.38; 10:64=0.38; 22:12=0.38
25:54#02,w a k aa n a r a b b u k a q a d ii r a n aa,21,13,10,,13,3:41=0.38; 4:133=0.43; 4:149=0.38; 7:44=0.43
27:55#02,b a l ' a n t u m q a w m u n t a j h a l uu n,23,13,10,,13,5:91=0.3; 7:81=0.3; 7:138=0.26; 26:39=0.39
28:34#02,' i n n ii ' a x aa f u ' a n y u k a dh dh i b uu n,24,13,10,,13,6:15=0.42; 10:15=0.42; 11:26=0.42; 11:84=0.42
29:4#02,s aa ' a m aa y a H k u m uu n,14,13,9,,13,5:1=0.43; 6:136=0.0; 14:22=0.43; 16:21=0.43
29:39#01,w a q aa r uu n a w a f i r 3 a w n a w a h aa m aa n,25,13,10,,13,2:50=0.44; 10:75=0.36; 11:97=0.4; 21:48=0.44
30:40#03,s u b H aa n a h u w a t a 3 aa l aa 3 a m m aa y u sh r i k uu n,30,13,11,,13,6:100=0.13; 9:31=0.27; 10:18=0.0; 16:1=0.0
30:54#02,y a x l u q u m aa y a sh aa ',14,13,11,,13,3:40=0.29; 3:47=0.0; 6:133=0.43; 7:191=0.36
33:25#02,w a k a f aa a l l aa h u a l m u ' m i n ii n a a l q i t aa l,30,13,8,,13,2:174=0.43; 4:95=0.43; 4:103=0.4; 4:146=0.4
36:19#03,b a l ' a n t u m q a w m u n m m u s r i f uu n,24,13,9,,13,7:81=0.0; 15:15=0.33; 15:62=0.42; 21:50=0.42
38:44#02,' i n n aa w a j a d n aa h u S aa b i r a n aa,22,13,10,,13,7:72=0.41; 18:69=0.23; 21:53=0.41; 23:82=0.41
39:5#03,w a s a x x a r a a sh sh a m s a w aa l q a m a r,24,13,13,,13,6:96=0.33; 7:54=0.38; 12:4=0.33; 13:2=0.0
39:67#02,s u b H aa n a h u w a t a 3 aa l aa 3 a m m aa y u sh r i k uu n,30,13,11,,13,6:100=0.13; 9:31=0.27; 10:18=0.0; 16:1=0.0
42:51#02,' i n n a h u 3 a l i y y u n H a k ii m,20,13,12,,13,2:228=0.4; 6:139=0.35; 9:106=0.35; 12:6=0.45
43:62#01,w a l aa y a S u d d a n n a k u m u a sh sh a y T aa n,26,13,10,,13,4:120=0.35; 6:43=0.38; 6:68=0.42; 7:27=0.19
45:21#02,s aa ' a m aa y a H k u m uu n,14,13,9,,13,5:1=0.43; 6:136=0.0; 14:22=0.43; 16:21=0.43
50:20#02,dh aa l i k a y a w m u a l w a 3 ii d,18,13,11,,13,1:4=0.44; 11:103=0.33; 26:74=0.44; 32:6=0.44
51:50#01,f a f i r r uu aa ' i l aa a l l aa h,17,13,13,,13,3:158=0.41; 10:30=0.29; 11:2=0.35; 16:87=0.35
57:15#03,h i y a m a w l aa k u m,12,13,11,,13,2:56=0.42; 3:150=0.25; 8:11=0.42; 8:40=0.17
66:4#03,w aa l m a l aa ' i k a t u b a 3 d a dh aa l i k a Z a h ii r,29,13,10,,13,2:161=0.45; 3:82=0.45; 3:87=0.45; 4:166=0.41
19:91,' a n d a 3 a w aa l i l r r a H m aa n i w a l a d a n aa,28,13,6,,13,19:26=0.39; 19:44=0.43; 19:78=0.39; 19:85=0.39
26:56,w a ' i n n aa l a j a m ii 3 u n H aa dh i r uu n,23,13,6,,13,7:66=0.43; 12:11=0.39; 12:12=0.39; 12:61=0.43
26:76,' a n t u m w a ' aa b aa ' u k u m u a l ' a q d a m uu n,28,13,12,,13,7:71=0.32; 9:24=0.43; 10:28=0.43; 12:40=0.29
26:137,' i n h aa dh aa ' i l l aa x u l u q u a l ' a w w a l ii n,28,13,11,,13,6:25=0.25; 8:31=0.25; 23:24=0.43; 23:68=0.43
52:2,w a k i t aa b i n m m a s T uu r,16,13,9,,13,5:15=0.38; 15:4=0.38; 17:58=0.25; 22:8=0.38
69:22,f ii j a n n a t i n 3 aa l i y a h,17,13,12,,13,3:133=0.41; 15:45=0.41; 26:147=0.41; 36:55=0.41
74:27,w a m aa ' a d r aa k a m aa s a q a r,18,13,10,,13,26:208=0.44; 69:3=0.22; 77:14=0.22; 82:17=0.22
74:39,' i l l aa ' a S H aa b a a l y a m ii n,19,13,7,,13,7:50=0.37; 18:9=0.42; 29:15=0.42; 36:13=0.42
75:21,w a t a dh a r uu n a a l ' aa x i r a h,19,13,13,,13,2:201=0.42; 3:85=0.42; 26:166=0.32; 27:54=0.42
75:32,w a l aa k i n k a dh dh a b a w a t a w a l l aa,23,13,11,,13,7:96=0.3; 9:46=0.39; 9:121=0.43; 10:104=0.43
77:3,w aa l n n aa sh i r aa t i n a sh r a n aa,19,13,6,,13,33:35=0.42; 37:1=0.42; 37:2=0.32; 37:3=0.42
80:1,3 a b a s a w a t a w a l l aa,15,13,12,,13,7:196=0.33; 9:50=0.4; 12:84=0.4; 20:48=0.2
81:10,w a ' i dh aa a S S u H u f u n u sh i r a t,21,13,4,,13,46:6=0.43; 77:8=0.43; 77:9=0.43; 77:10=0.38
82:10,w a ' i n n a 3 a l a y k u m l a H aa f i Z ii n,24,13,11,,13,7:114=0.42; 12:12=0.29; 12:63=0.29; 15:9=0.29
88:10,f ii j a n n a t i n 3 aa l i y a h,17,13,11,,13,3:133=0.41; 15:45=0.41; 26:147=0.41; 36:55=0.41
89:10,w a f i r 3 a w n a dh ii a l ' a w t aa d,20,13,10,,13,10:83=0.4; 11:97=0.45; 26:11=0.4; 26:53=0.35
90:12,w a m aa ' a d r aa k a m aa a l 3 a q a b a h,22,13,10,,13,69:3=0.18; 74:27=0.27; 77:14=0.32; 82:17=0.32
92:4,' i n n a s a 3 y a k u m l a sh a t t aa,20,13,11,,13,7:81=0.4; 16:7=0.35; 17:40=0.45; 23:34=0.45
92:13,w a ' i n n a l a n aa l a l ' aa x i r a t a w aa l ' uu l aa,29,13,12,,13,2:130=0.41; 3:148=0.38; 7:113=0.45; 9:69=0.45
93:2,w aa l l l a y l i ' i dh aa s a j aa,17,13,11,,13,21:42=0.41; 37:138=0.35; 41:38=0.41; 53:1=0.35
99:5,b i ' a n n a r a b b a k a ' a w H aa l a h aa,23,13,10,,13,6:83=0.43; 7:167=0.35; 11:107=0.39; 13:6=0.43
101:3,w a m aa ' a d r aa k a m aa a l q aa r i 3 a h,22,13,10,,13,69:3=0.18; 69:4=0.41; 74:27=0.32; 77:14=0.36
109:1,q u l y aa ' a y y u h aa a l k aa f i r uu n,21,13,12,,13,4:151=0.43; 22:49=0.29; 27:18=0.43; 27:38=0.43
2:57#02,k u l uu aa m i n T a y y i b aa t i m aa r a z a q n aa k u m,29,12,10,,12,2:172=0.0; 2:254=0.45; 2:267=0.31; 5:88=0.41
4:162#02,w aa l m u q ii m ii n a a S S a l aa h,18,12,9,,12,2:3=0.28; 2:43=0.44; 2:177=0.44; 5:55=0.33
6:19#03,sh a h ii d u n b a y n ii w a b a y n a k u m,22,12,12,,12,4:73=0.41; 6:58=0.23; 10:29=0.23; 13:43=0.09
6:84#01,w a w a h a b n aa l a h u ' i s H aa q a w a y a 3 q uu b,28,12,9,,12,2:136=0.32; 3:84=0.32; 4:163=0.32; 11:71=0.43
6:86#02,w a k u l l a n aa f a D D a l n aa 3 a l aa a l 3 aa l a m ii n,30,12,9,,12,2:47=0.37; 2:59=0.43; 2:122=0.37; 3:33=0.4
6:112#02,w a l a w sh aa ' a r a b b u k a m aa f a 3 a l uu h,25,12,11,,12,4:66=0.4; 6:107=0.44; 6:137=0.24; 10:99=0.32
6:126#01,w a h aa dh aa S i r aa T u r a b b i k a m u s t a q ii m a n aa,30,12,9,,12,3:51=0.4; 4:68=0.4; 4:175=0.4; 6:153=0.3
7:110#02,f a m aa dh aa t a ' m u r uu n,14,12,11,,12,2:152=0.43; 6:123=0.43; 15:5=0.43; 20:51=0.36
7:160#06,k u l uu aa m i n T a y y i b aa t i m aa r a z a q n aa k u m,29,12,9,,12,2:57=0.0; 2:172=0.0; 2:254=0.45; 2:267=0.31
7:178#01,m a n y a h d i a l l aa h u f a h u w a a l m u h t a d ii,29,12,11,,12,3:62=0.45; 5:17=0.41; 5:72=0.41; 6:71=0.45
10:3#04,dh aa l i k u m u a l l aa h u r a b b u k u m f aa 3 b u d uu h,30,12,10,,12,3:51=0.4; 6:95=0.43; 6:102=0.2; 10:32=0.23
10:34#03,f a ' a n n aa t u ' f a k uu n,15,12,10,,12,5:75=0.2; 19:8=0.4; 19:20=0.4; 23:89=0.2
11:72#02,' i n n a h aa dh aa l a sh a y ' u n 3 a j ii b,22,12,8,,12,7:109=0.32; 7:123=0.36; 10:76=0.36; 26:34=0.32
12:1#02,t i l k a ' aa y aa t u a l k i t aa b i a l m u b ii n,26,12,12,,12,2:252=0.38; 3:108=0.38; 10:1=0.15; 13:1=0.23
12:92#03,w a h u w a ' a r H a m u a r r aa H i m ii n,22,12,10,,12,6:117=0.41; 7:151=0.18; 10:109=0.36; 12:64=0.0
13:31#02,b a l l l i l l a h i a l ' a m r u j a m ii 3 a n aa,26,12,11,,12,2:165=0.38; 4:139=0.38; 7:180=0.42; 10:65=0.38
14:18#04,dh aa l i k a h u w a a D D a l aa l u a l b a 3 ii d,25,12,11,,12,6:129=0.44; 10:64=0.32; 22:11=0.4; 22:12=0.0
14:36#02,f a m a n t a b i 3 a n ii f a ' i n n a h u m i n n ii,27,12,11,,12,2:249=0.33; 7:18=0.41; 11:76=0.44; 12:28=0.44
18:26#01,q u l i a l l aa h u ' a 3 l a m u b i m aa l a b i th uu aa,28,12,11,,12,3:167=0.39; 5:61=0.36; 6:58=0.39; 6:124=0.43
23:72#02,w a h u w a x a y r u a r r aa z i q ii n,20,12,10,,12,2:184=0.45; 2:216=0.4; 3:150=0.2; 5:114=0.2
26:15#03,' i n n aa m a 3 a k u m m m u s t a m i 3 uu n,23,12,11,,12,2:14=0.35; 3:81=0.39; 7:71=0.35; 9:52=0.26
27:43#02,' i n n a h aa k aa n a t m i n q a w m i n k aa f i r ii n,28,12,10,,12,4:92=0.39; 7:83=0.39; 7:93=0.39; 15:60=0.39
27:59#02,' aa l l l a h u x a y r u n ' a m m aa y u sh r i k uu n,27,12,11,,12,3:54=0.37; 7:190=0.37; 8:30=0.37; 12:64=0.41
28:82#03,w a y k a ' a n n a h u l aa y u f l i H u a l k aa f i r uu n,30,12,10,,12,5:82=0.43; 6:21=0.33; 6:135=0.33; 9:2=0.43
29:43#02,w a m aa y a 3 q i l u h aa ' i l l aa a l 3 aa l i m uu n,27,12,11,,12,2:99=0.33; 6:136=0.44; 12:81=0.44; 14:38=0.44
29:53#01,w a y a s t a 3 j i l uu n a k a b i aa l 3 a dh aa b,25,12,12,,12,2:219=0.4; 6:58=0.44; 10:53=0.44; 13:6=0.2
29:61#02,f a ' a n n aa y u ' f a k uu n,15,12,11,,12,3:47=0.33; 5:75=0.13; 10:34=0.07; 19:8=0.33
